,Season Number,Season Start,Season End,Episode Number,Episode Title,Pitch Number,Startup Name,Industry,Business Description,Number of Presenters,Male Presenters,Female Presenters,Transgender Presenters,Couple Presenters,Pitchers Average Age,Started in,Pitchers City,Pitchers State,Yearly Revenue,Monthly Sales,Gross Margin,Net Margin,Original Ask Amount,Original Offered Equity,Valuation Requested,Received Offer,Accepted Offer,Total Deal Amount,Total Deal Equity,``,Debt Interest,Deal Valuation,Number of sharks in deal,Deal has conditions,Has Patents,Ashneer Investment Amount,Ashneer Investment Equity,Ashneer Debt Amount,Namita Investment Amount,Namita Investment Equity,Namita Debt Amount,Anupam Investment Amount,Anupam Investment Equity,Anupam Debt Amount,Vineeta Investment Amount,Vineeta Investment Equity,Vineeta Debt Amount,Aman Investment Amount,Aman Investment Equity,Aman Debt Amount,Peyush Investment Amount,Peyush Investment Equity,Peyush Debt Amount,Ghazal Investment Amount,Ghazal Investment Equity,Ghazal Debt Amount,Amit Investment Amount,Amit Investment Equity,Amit Debt Amount,Guest Investment Amount,Guest Investment Equity,Guest Debt Amount
75,1,20-Dec-21,04-Feb-22,23,Investing In Innovation,76,ModernMyth,Beauty/Fashion,Bags Slings Clutches Handbags Totes Laptop Bags Travel Essentials Pouches Trunks & Gifting,2,1,1,0,0,Young,2019,Delhi,Delhi,0,14,0,0,75,5,1500,0,0,0,0,0,0,0,0,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,1,20-Dec-21,04-Feb-22,24,A Decade Of Indian Entrepreneurship,77,TheSassBar,Beauty/Fashion,Gifts Soaps,1,0,1,0,0,Young,2021,Mumbai,Maharashtra,0,7,65,0,40,8,500,1,1,50,35,0,0,143,2,no,0,0,0,0,0,0,0,25,17.5,0,0,0,0,0,0,0,0,0,0,25,17.5,0,0,0,0,0,0,0
77,1,20-Dec-21,04-Feb-22,24,A Decade Of Indian Entrepreneurship,78,KGAgrotech,Agriculture,Agricultural Innovations,2,2,0,0,0,Young,2014,Malegaon,Maharashtra,0,0,0,0,30,10,300,1,1,10,40,20,0,25,1,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,40,20,0,0,0,0,0,0,0,0,0
78,1,20-Dec-21,04-Feb-22,24,A Decade Of Indian Entrepreneurship,79,NuskhaKitchen,Food,Homemade after delivery Foods,2,1,1,0,0,Middle,2019,Jaipur,Rajasthan,0,1.45,0,0,20,10,200,0,0,0,0,0,0,0,0,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,1,20-Dec-21,04-Feb-22,25,An Ocean Of Opportunities,80,PawsIndia,Animal/Pets,Dog Products,1,0,1,0,0,Young,2016,Mumbai,Maharashtra,0,20,0,0,50,4,1250,1,1,50,15,0,0,333,1,no,0,0,0,0,0,0,0,50,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,1,20-Dec-21,04-Feb-22,25,An Ocean Of Opportunities,81,SunfoxTechnologies,Medical/Health,Portable ECG Device,4,4,0,0,0,Young,2016,Dehradun,Uttarakhand,120,5,0,0,100,2,5000,1,1,100,6,0,0,1667,5,no,0,0,0,0,20,1.2,0,20,1.2,0,20,1.2,0,0,0,0,20,1.2,0,20,1.2,0,0,0,0,0,0,0
81,1,20-Dec-21,04-Feb-22,25,An Ocean Of Opportunities,82,Alpino,Food,Roasted Peanut butter Products,4,4,0,0,0,Young,2016,Surat,Gujarat,1000,0,38,0,150,2,7500,1,0,0,0,0,0,0,0,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,1,20-Dec-21,04-Feb-22,26,Revolutionary Ideas,83,IsakFragrances,Beauty/Fashion,Perfumes Fragrances,1,0,1,0,0,Young,2016,Lucknow,Uttar Pradesh,0,3.5,0,0,50,8,625,1,1,50,50,0,0,100,1,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,0,0,0,0,0,0,0,0,0,0
83,1,20-Dec-21,04-Feb-22,26,Revolutionary Ideas,84,JulaaAutomation,Manufacturing,Automatic Cradle,3,3,0,0,0,Middle,2022,Ahmedabad,Gujarat,0,0,0,0,50,10,500,0,0,0,0,0,0,0,0,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,1,20-Dec-21,04-Feb-22,26,Revolutionary Ideas,85,RarePlanet,Manufacturing,Handicrafts,2,2,0,0,0,Middle,2015,Kolkata,West Bengal,0,12,0,0,65,1,6500,1,1,65,3,0,0,2167,1,no,0,0,0,0,65,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,1,20-Dec-21,04-Feb-22,27,Investing In The Future Of India,86,ThekaCoffee,Food,Coffee Products,1,1,0,0,0,Young,2018,Gandhinagar,Gujarat,180,4,0,0,50,10,500,0,0,0,0,0,0,0,0,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,1,20-Dec-21,04-Feb-22,27,Investing In The Future Of India,87,WattTechnovations,Medical/Health,Ventilated PPE Kits,1,1,0,0,0,Young,2020,Pune,Maharashtra,0,0,0,0,0.00101,2,0,1,1,0.00101,4,0,0,0,4,no,0,0,0,0,0.0002525,1,0,0.0002525,1,0,0,0,0,0,0,0,0.0002525,1,0,0.0002525,1,0,0,0,0,0,0,0
87,1,20-Dec-21,04-Feb-22,27,Investing In The Future Of India,88,AlisteTechnologies,Technology/Software,Automation Solutions,6,6,0,0,0,Young,2020,Noida,Uttar Pradesh,0,7.5,40,0,60,5,1200,1,0,0,0,0,0,0,0,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,1,20-Dec-21,04-Feb-22,27,Investing In The Future Of India,89,InsuranceSamadhan,Services,Insurance Solutions,3,2,1,0,0,Middle,2016,Noida,Uttar Pradesh,0,22,0,0,100,1,10000,1,1,100,4,0,0,2500,1,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,4,0,0,0,0,0,0,0,0,0,0
89,1,20-Dec-21,04-Feb-22,28,Meeting The New India Minds,90,HumpyA2,Food,Organic Milk A2 Products,3,2,1,0,0,Middle,2017,Pune,Maharashtra,208,0,44,0,75,4,1875,1,1,100,15,0,0,667,3,no,0,0,0,0,0,0,0,0,0,0,33.33,5,0,0,0,0,33.33,5,0,33.33,5,0,0,0,0,0,0,0
90,1,20-Dec-21,04-Feb-22,28,Meeting The New India Minds,91,KunafaWorld,Food,Kunafa food products,2,1,1,0,1,Young,2018,Mangalore,Karnataka,200,30,30,0,90,5,1800,0,0,0,0,0,0,0,0,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,1,20-Dec-21,04-Feb-22,28,Meeting The New India Minds,92,GoldSafeSolutions,Manufacturing,Anti-Suicidal Fan Rod,2,2,0,0,0,Middle,2017,Mumbai,Maharashtra,50,0,25,0,50,5,1000,1,1,50,30,0,0,167,3,no,0,0,0,0,0,0,0,0,0,0,16.66,10,0,0,0,0,16.66,10,0,16.66,10,0,0,0,0,0,0,0
92,1,20-Dec-21,04-Feb-22,29,Businesses Of Tomorrow,93,WakaoFoods,Food,Jackfruit Products,1,1,0,0,0,Middle,2021,Goa,Goa,0,6,0,0,75,5,1500,1,1,75,21,0,0,357,3,no,0,0,0,0,25,7,0,0,0,0,25,7,0,0,0,0,0,0,0,25,7,0,0,0,0,0,0,0
93,1,20-Dec-21,04-Feb-22,29,Businesses Of Tomorrow,94,PDDFalcon,Manufacturing,Stainless Steel Items,2,1,1,0,1,Young,2018,Gandhinagar,Gujarat,272,0,30,0,75,3,2500,1,0,0,0,0,0,0,0,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
